"","arrests_B","arrests_W","arrests_total","ct_pop","ct_white","ct_black","sir_total","sir_white","sir_black","eTot","eW","eB"
"1",965,693,1658,3153,822,2116,15.390631416376,47.9470565217477,27.8150991218819,107.727873869804,14.4534419894091,34.6933870618797
"2",854,754,1614,2749,623,1970,17.1840161684664,68.8309609914809,26.4399485966095,93.9244926318083,10.9543727000023,32.2996089375723
"3",839,772,1617,2877,561,2263,16.4500052208676,78.2627263616474,22.6123848774523,98.2978411428565,9.8642104088303,37.1035609267645
"4",752,701,1454,2462,636,1795,17.2851136758542,62.6846833180741,25.5518500185665,84.1186252671925,11.1829551158932,29.4303543365189
"5",629,539,1169,2212,566,1627,15.4676832750382,54.1592782147892,23.579362243779,75.5769289565515,9.95212672263449,26.6758699195077
"6",571,574,1153,2161,845,1278,15.6160223723592,38.6327583263628,27.2504837567006,73.8344229091807,14.8578570329084,20.9537564579784
"7",696,615,1315,2245,882,1259,17.1437288668348,39.6558318583292,33.717275261939,76.7044328695561,15.5084377550594,20.6422373870069
"8",657,554,1215,2251,906,1225,15.797801952607,34.776198081932,32.711333048899,76.9094335810115,15.9304360613195,20.0847822073736
"9",437,477,920,2267,943,1182,11.8776955530116,28.767837716413,22.5492926165463,77.4561021448925,16.5810167834705,19.3797653625434
"10",177,147,325,3290,1386,1897,2.89123468384766,6.03190701880573,5.69082063269612,112.408723448035,24.3704021865219,31.1027198754186
"11",272,118,390,3440,1609,1815,3.31819608483447,4.17086849529069,9.14031655022047,117.53374123442,28.2914697821889,29.7582691480679
"12",221,88,309,3530,1598,1908,2.56200313091861,3.13188950162915,7.06452335568828,120.608751906251,28.0980538918196,31.2830730217705
"13",181,135,316,3587,1590,1968,2.57840769163465,4.82877731694151,5.60947791781683,122.556258665077,27.9573877897329,32.2668174564174
"14",212,125,337,3699,1678,1844,2.66649916278613,4.23661100844094,7.01203227118523,126.382938612244,29.5047149126867,30.2337456248139
"15",163,88,252,3703,1678,1866,1.99178616230866,2.98257414994242,5.32776336178357,126.519605753214,29.5047149126867,30.5944519175177
"16",212,148,361,3644,1991,1438,2.89951069970365,4.22757177008641,8.99178547153377,124.503765423903,35.0082761568291,23.57707495037
"17",167,131,298,3603,1995,1331,2.42073853731969,3.73446960863547,7.65257117590316,123.102927228958,35.0786092078725,21.8227307085831
"18",203,120,324,3503,1958,1329,2.70707791000615,3.48553214569833,9.31622607485167,119.686248704702,34.4280284857214,21.7899392274282
"19",253,103,358,5104,2345,2622,2.0529021192003,2.49801425000556,5.88513996146645,174.387271878046,41.2327511741659,42.9896317940683
"20",375,156,535,5040,2199,2699,3.10684171475852,4.03459459920898,8.47417337575165,172.200597622522,38.6655948110835,44.2521038185318
"21",391,196,587,4821,2246,2427,3.56366483716249,4.96302946159973,9.82598152011108,164.718071654401,39.4920081608429,39.792462381466
"22",470,140,612,5419,2204,3050,3.30543143709943,3.61257589148074,9.39868253756698,185.149809229454,38.7535111248877,50.007008761216
"23",346,115,461,4882,2175,2620,2.76375176166446,3.00703936109921,8.05459613601952,166.802245554197,38.2435965048234,42.9568403129134
"24",325,150,477,5161,2398,2669,2.70508179774501,3.55748120375174,7.42683455064314,176.334778636873,42.1646641004903,43.7602316012084
"25",397,131,536,5703,2812,2786,2.75078913440123,2.6494547899103,8.69117223703089,194.853176238342,49.4441348834774,45.6785332487698
"26",321,129,454,5635,2589,2962,2.35807608920942,2.83372821045699,6.60980945767305,192.529834841848,45.5230672878104,48.5641835904006
"27",378,128,513,5902,2715,3137,2.54398204642889,2.68127074427102,7.34930452428528,201.652366501613,47.738558395676,51.433438191454
"28",93,140,233,2786,2372,225,2.44777046948711,3.35671048264062,25.2097995440272,95.1886636857832,41.7074992687085,3.68904162992577
"29",76,104,184,2726,2342,235,1.97554921633729,2.52549772947923,19.7248946329382,93.1386565712294,41.1800013858834,3.85299903570025
"30",58,78,137,2819,2565,190,1.42239878740487,1.72944902995332,18.6184427871848,96.3161675987878,45.1010689815503,3.1151907097151
"31",49,96,148,3033,2802,176,1.42818736692191,1.94851447288432,16.9805742896444,103.627859640697,49.268302255869,2.88565034163083
"32",43,77,123,3061,2789,208,1.17608216471503,1.57015578904731,12.6088094803796,104.584529627488,49.0397198399781,3.41031404010916
"33",56,141,197,2934,2647,222,1.96517847584519,3.02946336645292,15.3852307592145,100.245347901683,46.542896527939,3.63985440819343
"34",45,98,144,2857,2593,198,1.47519059133536,2.14943389331913,13.8616932976689,97.6145054380053,45.5934003388538,3.24635663433468
"35",42,32,74,3073,2672,214,0.704798614362864,0.681104984159415,11.9702846794823,104.994531050399,46.98247809696,3.50868848357384
"36",46,57,103,3031,2584,256,0.99459705841226,1.25453528332304,10.9594012634695,103.559526070211,45.4351509740062,4.19730958782665
"37",232,244,476,3431,2103,1079,4.06052432732578,6.59858913326863,13.1140097481561,117.226240167237,36.977601586043,17.6910040830663
"38",192,310,502,3970,2159,1518,3.70091484530062,8.16600394394,7.71433366131139,135.642137412979,37.9622643006499,24.8887341965659
"39",178,351,535,4146,2350,1403,3.77676850998142,8.49453848010052,7.73804575248345,141.65549161567,41.3206674879701,23.0032240301594
"40",162,378,546,4065,2409,1477,3.93122566901914,8.92391723330163,6.68965130844847,138.887982011023,42.3580799908595,24.2165088328905
"41",146,313,460,4380,2720,1426,3.07382828980334,6.54449239466853,6.24456646172686,149.65051936243,47.8264747094802,23.3803260634407
"42",108,226,334,4622,2999,1398,2.11500991558289,4.28580598735322,4.71178587628917,157.918881391131,52.7322050197541,22.9212453272721
"43",124,253,385,4440,3013,1187,2.53789494961583,4.77553380114827,6.37147418972886,151.700526476984,52.9783706984059,19.4617440654306
"44",124,181,307,4274,2844,1226,2.10232444312779,3.6195077982044,6.16879271061024,146.028840126718,50.0067992918242,20.1011779479511
"45",102,254,362,4396,3200,1169,2.41016496379148,4.51423612782407,5.32175188365595,150.197187926311,56.2664408346826,19.1666207350366
"46",191,236,428,7375,5021,1912,1.69854722629239,2.67314375977802,6.09276519213439,251.980041163909,88.2855623221692,31.3486559840803
"47",181,308,493,7441,5563,1375,1.93915041202501,3.14877907291243,8.02869275800983,254.235048989918,97.8156907385436,22.5441432939908
"48",202,309,515,7991,5973,1178,1.88626184710772,2.94216143458717,10.4586358259492,273.026780873329,105.024828470487,19.3141824002336
"49",159,224,387,8272,6302,1181,1.36929278995513,2.02148327891426,8.21138072061741,282.627647526489,110.809721918803,19.3633696219659
"50",125,225,355,8408,6408,1207,1.23575259789207,1.996919458473,6.3164302516304,287.274330319478,112.673547771452,19.7896588769796
"51",155,234,393,8205,5857,1554,1.40187679526537,2.27217180903036,6.0834458359139,280.338472915237,102.98516999023,25.478980857354
"52",140,257,400,8472,6161,1422,1.38187871139083,2.37237013594692,6.00478415707739,289.461004575002,108.330481869525,23.3147431011309
"53",190,250,443,8753,6188,1832,1.48129883017425,2.29768366908982,6.32553253103232,299.061871228162,108.805229964068,30.0369967378845
"54",183,253,441,8648,6455,1806,1.49251529582571,2.22907565342521,6.18019681244906,295.474358777693,113.499961121211,29.6107074828709
"55",175,202,377,4061,3733,94,2.71709136848959,3.07747060482637,113.547913183033,138.751314870052,65.6383198862095,1.5411996142801
"56",140,215,355,3983,3576,117,2.60863867513847,3.41933367676787,72.9812228321713,136.086305621132,62.8777476327578,1.9183016475614
"57",132,148,283,3829,3424,127,2.16320137982606,2.4582638417763,63.3926887187882,130.824620693777,60.2050916931104,2.08225905333588
"58",85,191,277,3997,3548,158,2.02834349179645,3.06161297628704,32.8118562868872,136.564640614528,62.3854162754544,2.59052701123676
"59",112,180,294,3979,3776,92,2.16256551533898,2.71107201057098,74.2504614901221,135.949638480162,66.3944001849255,1.5084081331252
"60",98,172,270,3951,3746,176,2.00010417589462,2.61132669046917,33.9611485792888,134.99296849337,65.8669023021004,2.88565034163083
"61",109,166,275,4196,3890,189,1.91819650965108,2.42693989342767,35.1749635214921,143.363830877798,68.3988921396611,3.09879496913765
"62",116,188,307,4134,3785,237,2.17352072325306,2.82483118661413,29.8523555237562,141.245490192759,66.5526495497731,3.88579051685514
"63",110,146,256,4147,3580,229,1.80676559523945,2.31937174913057,29.2972033016234,141.689658400913,62.9480806838012,3.75462459223556
"64",57,108,165,4314,2354,1312,1.11943707294797,2.60926284925642,2.64978100537756,147.395511536421,41.3910005390134,21.5112116376116
"65",56,59,115,4333,2374,1530,0.776792517270864,1.41342194796182,2.23236681604289,148.04468045603,41.7426657942302,25.0854830834952
"66",69,76,147,4100,2401,1373,1.04937172994315,1.80020501019394,3.06512023683342,140.083819494512,42.2174138887728,22.5113518128359
"67",68,69,137,4314,2388,1631,0.929471993902255,1.64329412321376,2.54286856815606,147.395511536421,41.9888314728819,26.7414528818175
"68",66,79,145,4263,2206,1806,0.995516704328499,2.03667680326726,2.2289234405554,145.65300548905,38.7886776504093,29.6107074828709
"69",84,89,173,4435,2314,1761,1.14169043101592,2.18739485297351,2.90930257968111,151.529692550771,40.6876700285799,28.8728991568857
"70",84,88,174,4409,2350,1667,1.15506129568221,2.12968486110782,3.0733544348041,150.641356134465,41.3206674879701,27.3316995426056
"71",95,131,226,4511,2485,1674,1.46632923747291,2.99809531960876,3.46128303370705,154.126368229206,43.6944079606832,27.4464697266477
"72",102,148,251,4593,2377,1910,1.59945917002432,3.54105822223056,3.2571350533999,156.928044619096,41.7954155825127,31.3158645029254
"73",76,103,181,2885,1388,665,1.83623659979677,4.22034828261027,6.97045148682779,98.571175424797,24.4055687120436,10.9031674840028
"74",58,126,185,2760,1355,649,1.9618171575517,5.28849117220753,5.45069973738845,94.3003272694766,23.8253210409359,10.6408356347637
"75",81,133,216,2259,1387,540,2.79855213774577,5.45350497590655,9.14871757646148,77.182767862952,24.3879854492828,8.85369991182185
"76",60,114,174,2420,1698,275,2.10440712919953,3.81827935466047,13.3072255657622,82.6836202870048,29.8563801679035,4.50882865879816
"77",56,112,168,2153,1431,330,2.28381611984177,4.45121859668683,10.3500643289261,73.5610886272402,25.1616490107596,5.4105943905578
"78",29,99,132,2497,1769,304,1.54721715104447,3.18278934514065,5.81826337099524,85.3144627506822,31.104791823923,4.98430513554415
"79",56,126,188,2699,1781,414,2.03868837649666,4.0235292186082,8.25005127668024,92.2161533696801,31.3157909770531,6.78783659906342
"80",52,132,185,2644,1775,425,2.04788780440344,4.22937416079159,7.46248335648623,90.3369801813391,31.210291400488,6.96818974541534
"81",61,165,233,2907,1817,558,2.34588528654664,5.16451509039975,6.66752415966727,99.3228447001335,31.9487884364432,9.14882324221591
"82",24,69,94,2163,1990,65,1.27194173096729,1.97195294785652,22.5199201882129,73.9027564796659,34.9906928940683,1.06572313753411
"83",15,104,119,2252,2001,99,1.54658736312775,2.95587990126955,9.24112886511261,76.9436003662541,35.1841087844375,1.62317831716734
"84",13,65,79,2197,2040,71,1.05242926603249,1.8121065203555,11.1674486848826,75.064427177913,35.8698560321102,1.1640975809988
"85",6,53,59,2352,2137,118,0.734193569442268,1.41049607271759,3.10126019541067,80.3602788905105,37.5754325199115,1.93469738813885
"86",15,40,55,2463,2215,156,0.653573086032961,1.02703866685889,5.86456254901377,84.152792052435,38.9469270152569,2.55773553008187
"87",11,54,66,2362,1947,298,0.817824137628713,1.57735098796857,2.25136226713817,80.7019467429361,34.2346125953522,4.88593069207946
"88",24,70,95,2256,1896,300,1.23248145176839,2.09971446857161,4.87931604077946,77.0802675072243,33.3378661945495,4.91872217323436
